Quote,
English,Urdu
A man's word and his intestinal fortitude are two of the most honorable virtues known to mankind. -Jim Nantz,???: ??? ????? ?? ?? ?????? ??? ???? ??? ?? ???? ???? ?? ???? ????? ???? ?? ??? ?????
"Don't be satisfied with stories, how things have gone with others. Unfold your own myth. - Rumi",???: ?? ??? ????? ?? ??? ?? ??? ?? ??? ?? ?? ?? ??? ??? ??? ??? ????? ??? ?????? ????
There is no victory at bargain basement prices. -Dwight D. eisenhower,???: ????? ?? ?? ????? ?????? ????? ??????? ?? ??? ????? ???? ???? ????? ???? ???? ????
"He who fights against the truth, the truth will defeat him. - Hazrat Ali R.A",???: ?? ??? ???? ??? ????? ??? ????? ???? ??? ??? ???? ?? ?? ??? ??? ?? ??? ? ???? ?? ??????? ??? ?? ???? ??? ???? ???? ?? ?? ?? ?? ??? ??? ???? ???? ?? ???? ???????
empty pockets never held anyone back. Only empty heads and empty hearts can do that. - Norman Vincent Peale,"???: ??? ?? ??? ?? ???? ??? ???? ????? ???? ????? ?? ????? ?? ???? ? ?????"
The difference between the impossible and the possible lies in a man's determination. -Tommy Lasorda,???: ??? ????? ?? ?? ??? ????? ?? ? ??? ????? ???? ?? ????? ????? ????
Virtue is the only true nobility. -Thomas Fuller,???: ?? ????? ! ???? ?????? ?? ???? ???? ??? ???? ??? ?? ??? ?? ?????? ?? ???? ????? ??? ???? ????? ??? ??? ???? ???
"In the last analysis, our only freedom is the freedom to discipline ourselves. -Bernard Baruch",???: ???? ? ?? ???? ?????? ??? ??? ?? ??? ?? ?? ????? ?????? ??? ??? ??? ???? ???? ??? ???? ???
"""My Mama always said, 'Life is like a box of chocolates; you never know what you're going to get.'"" - Forest Gump 1994",???: ???? ?????? ?? ??? ?????? ??? ???? ???? ??????? ?? ??? ????? ??? ?????
"""Always treat a famous person as if they're not, and a person who's not as if they were."" - Adam Lawrence ~ Perfect 1985",???: ?? ?????? ?? ?????? ?? ????? ?? ?????? ????? ????? ???? ???? ?? ?????? ?????? ?? ?????? ???? ???? ??? ??? ???? ??? ???? ??? ??? ???? ????? ???
"""Nothing great was ever achieved without enthusiasm."" - Ralph Waldo Emerson",???: ????? ??????? ??? ??? ?? ?????? ?? ??? ?? ?? ?? ??? ???? ?????? ?????? ?????? ????? ??????? ?????? ??? ?????
